"temp.a" "temp.b" "temp.c"
"SPAC14C4.04" NA 0.0970937481666762 0.0169586963805762
"SPAC14C4.05C" 0.00306933971491432 NA 0.130094586397207
"SPAC14C4.06C" NA NA 0.00381323101898021
"SPAC14C4.07" 0.800498723188702 0.189097432126773 0.0635932849901401
"SPAC14C4.08" NA NA 0.00159071635927731
"SPAC14C4.09" 0.000868096775156384 9.83820714495884e-08 2.13174377225102e-08
"SPAC14C4.10C" NA NA 0.076399401072778
"SPAC14C4.11" 0.622272804496844 0.00581831144276973 0.000974012430882561
"SPAC14C4.12C" 0.365437355835434 NA 2.46188871346034e-06
"SPAC14C4.13" 0.101928850585689 0.312483152577916 0.100539808850986
"SPAC14C4.14" 0.000527664526228738 0.812507971064783 0.0207340808321932
"SPAC14C4.15C" 0.262297362110708 0.227617384501977 NA
"SPAC1527.02" NA NA NA
"SPAC1527.03" 0.229056169959464 NA 4.56600662784397e-05
"SPAC1556.02C" 0.511411434349305 NA 3.33544617283591e-08
"SPAC1556.03" NA NA 0.151374686975248
"SPAC1556.04C" 0.63892801432 0.494049171390432 0.00182896537883609
"SPAC1556.05C" 0.000289196606596992 0.181922513414187 0.365693213143628
"SPAC1556.06" NA 0.149795801661651 NA
"SPAC1556.06B" NA NA NA
"SPAC1556.07" 0.803526706608833 0.638625701587168 0.00131246253277793
"SPAC1556.08C" NA 0.150654086852912 NA
"SPAC1565.01" 0.00783041221350565 0.726059517590896 2.94380003945047e-10
"SPAC1565.02C" 0.0366766093699036 0.0094508544112379 3.10168254031688e-13
"SPAC1565.03" 0.190759817146686 0.0601375138816992 1.92474162781249e-11
"SPAC1565.04C" NA NA 2.33911499553313e-05
"SPAC1565.05" 2.87766352488686e-05 NA NA
"SPAC1565.06C" NA 0.217656920841854 NA
"SPAC1565.07C" NA NA 0.418529955404745
"SPAC1565.08" 8.53934189553098e-05 0.770191385163002 0.000334714141115292
"SPAC15A10.02" 0.487691960952266 0.391072662337252 0.113038755812631
"SPAC15A10.03C" NA NA NA
"SPAC15A10.04C" 0.789587475449975 NA 0.185005015780874
"SPAC15A10.05C" 0.310665751271064 NA 9.11788196465702e-05
"SPAC15A10.06" 0.711897506360503 NA NA
"SPAC15A10.07" NA 0.344804441588577 0.0147316116715621
"SPAC15A10.08" 0.0271784311402545 NA NA
"SPAC15A10.09C" 0.0184579202803057 3.40713913101139e-09 NA
"SPAC15A10.10" 0.000942449597015639 0.0018145128927581 2.10852697222867e-05
"SPAC15A10.11" 5.36922697790046e-06 0.743272132113591 0.00243258048121085
"SPAC15A10.12C" NA 0.650651096127337 0.104861219155696
"SPAC15A10.13" 0.0334240580910789 NA 0.0700143812470947
"SPAC15A10.15" 0.0770034566117747 0.0426012464461272 0.00464649458142694
"SPAC15A10.16" NA NA 0.921934585695851
"SPAC15E1.02C" 2.15652273445963e-05 0.567921040010785 0.390952877179757
"SPAC15E1.03" 1.02558396024121e-05 0.00456229081121237 0.0309292434005339
"SPAC15E1.04" 0.518684827086993 0.425667909081525 0.00127928946097236
"SPAC15E1.05C" 0.0293021540942401 NA 3.14282024620528e-07
"SPAC15E1.06" 0.636229296333664 0.985306988518434 NA
"SPAC15E1.07C" NA NA NA
"SPAC15E1.08" NA NA 0.675504855360747
"SPAC15E1.09" NA NA 0.311110760153995
"SPAC15E1.10" NA NA 0.00897775089489553
"SPAC15F9.01C" NA NA 0.471978143635173
"SPAC15F9.02" NA 0.344422386320251 0.0590394109814763
"SPAC15F9.03C" NA NA 1.64379236905418e-10
"SPAC16.01" NA NA 0.228658351437807
"SPAC16.02C" 0.984438692722034 NA NA
"SPAC16.03C" 0.0337383847389798 NA 0.00044257931097784
"SPAC16.04" 0.95404933663879 0.0330033462625749 0.220621637463381
"SPAC16.05C" 0.657157216622356 0.387227762698874 0.000109961894115485
"SPAC1610.02C" 0.54527736437222 0.0657562453956195 6.4018515058047e-06
"SPAC1610.03C" NA NA NA
"SPAC1610.04" 0.257190889071779 NA 0.00184595931042438
"SPAC1610.05" 0.757808364364595 NA 0.877378446119828
"SPAC1635.01" 0.914986697149377 0.0270882838750834 5.85582108899362e-08
"SPAC1639.02C" NA NA 0.124142653047441
"SPAC167.01" 0.841503448742523 0.240849949702726 0.00641832913613244
"SPAC167.02" NA NA 0.00398213224278644
"SPAC167.03C" 0.00258108295198592 NA 0.00169175740882896
"SPAC167.04" 0.402755060429585 NA NA
"SPAC167.08" NA 0.528235501342359 NA
"SPAC1687.02" 0.34071499532999 NA 0.0117168405470016
"SPAC1687.03C" 0.485838977749773 NA 0.00594261811075609
"SPAC1687.04" 0.935893861423822 NA 0.199112654363421
"SPAC1687.05" 0.00294636816021233 0.883520367981957 0.284441928692111
"SPAC1687.06C" 0.90376171073496 0.00515630621381623 0.0673528292294608
"SPAC1687.07" NA NA NA
"SPAC1687.08" NA NA NA
"SPAC1687.09" 0.516268680407709 0.192625504237046 0.160339408360669
"SPAC1687.10" 0.187160816938457 NA 0.023537645151072
"SPAC1687.11" 0.456340773711648 0.0124193773847310 0.0649512303311869
"SPAC1687.12C" 0.00192200460004366 0.335121696183216 NA
"SPAC1687.13C" 0.19302217783922 0.734034791429254 0.00137208735179316
"SPAC1687.14C" NA NA NA
"SPAC1687.15" NA 0.330412846138516 0.434744484379228
"SPAC1687.16C" 0.0757626582517332 NA 0.000113031247225673
"SPAC1687.17C" 0.137617928344007 0.000571077733356024 0.536549510789599
"SPAC1687.18C" NA NA 0.414690510616614
"SPAC1687.19C" NA 0.0184904006628873 0.0173163667908725
"SPAC1687.20C" NA NA 1.02240365990457e-07
"SPAC1687.21" NA 0.0120504916956797 0.655864759011155
"SPAC1687.22C" 0.058468665612495 0.0374831229183617 0.613517013246632
"SPAC16A10.01" 0.478215499628606 0.871101064224823 NA
"SPAC16A10.02" 0.468505809587707 0.0505817147165347 0.282319581854224
"SPAC16A10.03C" 0.47540105374343 0.867749674314176 0.214282178512416
"SPAC16A10.04" NA NA 8.49817300708565e-12
"SPAC16A10.05C" NA NA NA
"SPAC16A10.06C" NA NA 0.00109717133179693
"SPAC16A10.07C" 0.721869328980703 0.769137339629954 9.92893911004012e-06
"SPAC16A10.08C" 0.787024647818867 NA 0.096122666941654
"SPAC16C9.02C" 0.866525556679194 0.793496466309318 7.42786801273232e-10
"SPAC16C9.03" 0.00451288492608654 NA 0.0280324705897777
"SPAC16C9.04C" NA 0.365850583325827 0.167837883212964
"SPAC16C9.05" 0.999676399191723 NA 1.95648669597887e-09
"SPAC16C9.06C" 0.34250603999156 0.126848823879102 0.630928465164804
"SPAC16C9.07" 0.0711678692385582 0.65703212598314 1.32362318920217e-07
"SPAC16E8.01" 0.271032793918666 0.415235939485027 0.400004138386172
"SPAC16E8.02" NA NA 0.0884185061684733
"SPAC16E8.03" NA NA NA
"SPAC16E8.04C" 0.111731148221395 NA 0.106122244581356
"SPAC16E8.05C" NA NA NA
"SPAC16E8.06C" 0.77131420326508 NA 0.000420426486318005
"SPAC16E8.07C" 0.72390962410092 0.17387870385722 0.0867991434664974
"SPAC16E8.08" NA NA NA
"SPAC16E8.09" 0.382371101072374 NA 0.0342899257971581
"SPAC16E8.10C" 0.0519159953455442 0.887130116174146 NA
"SPAC16E8.11C" NA 0.329426697017315 9.35177170993437e-07
"SPAC16E8.12C" NA NA NA
"SPAC16E8.13" NA NA 0.124628617531738
